Nama,Deskripsi,Path Folder, Path Gambar,Deskripsi_casefolding,Deskripsi_clean,tokenized,stop_removed,lemmatized,preprocessing
Batik Lasem,"Batik Lasem didominasi warna merah cerah khas dengan pola flora dan fauna yang melambangkan keberanian dan harmoni. Batik ini mencerminkan akulturasi budaya Lasem, Jawa Tengah.",batik-lasem,batik-lasem.jpg,"batik lasem didominasi warna merah cerah khas dengan pola flora dan fauna yang melambangkan keberanian dan harmoni. batik ini mencerminkan akulturasi budaya lasem, jawa tengah.",batik lasem didominasi warna merah cerah khas dengan pola flora dan fauna yang melambangkan keberanian dan harmoni batik ini mencerminkan akulturasi budaya lasem jawa tengah,"['batik', 'lasem', 'didominasi', 'warna', 'merah', 'cerah', 'khas', 'dengan', 'pola', 'flora', 'dan', 'fauna', 'yang', 'melambangkan', 'keberanian', 'dan', 'harmoni', 'batik', 'ini', 'mencerminkan', 'akulturasi', 'budaya', 'lasem', 'jawa', 'tengah']","['batik', 'lasem', 'didominasi', 'warna', 'merah', 'cerah', 'khas', 'pola', 'flora', 'fauna', 'melambangkan', 'keberanian', 'harmoni', 'batik', 'mencerminkan', 'akulturasi', 'budaya', 'lasem', 'jawa']","['batik', 'lasem', 'didominasi', 'warna', 'merah', 'cerah', 'khas', 'pola', 'flora', 'fauna', 'melambangkan', 'keberanian', 'harmoni', 'batik', 'mencerminkan', 'akulturasi', 'budaya', 'lasem', 'jawa']",batik lasem didominasi warna merah cerah khas pola flora fauna melambangkan keberanian harmoni batik mencerminkan akulturasi budaya lasem jawa
Batik Megamendung,"Batik Megamendung memiliki motif awan bergradasi dengan warna biru, putih, atau merah. Melambangkan kesejukan dan ketenangan, batik ini merupakan warisan budaya dari Cirebon, Jawa Barat.",batik-megamendung,batik-megamendung.jpg,"batik megamendung memiliki motif awan bergradasi dengan warna biru, putih, atau merah. melambangkan kesejukan dan ketenangan, batik ini merupakan warisan budaya dari cirebon, jawa barat.",batik megamendung memiliki motif awan bergradasi dengan warna biru putih atau merah melambangkan kesejukan dan ketenangan batik ini merupakan warisan budaya dari cirebon jawa barat,"['batik', 'megamendung', 'memiliki', 'motif', 'awan', 'bergradasi', 'dengan', 'warna', 'biru', 'putih', 'atau', 'merah', 'melambangkan', 'kesejukan', 'dan', 'ketenangan', 'batik', 'ini', 'merupakan', 'warisan', 'budaya', 'dari', 'cirebon', 'jawa', 'barat']","['batik', 'megamendung', 'memiliki', 'motif', 'awan', 'bergradasi', 'warna', 'biru', 'putih', 'merah', 'melambangkan', 'kesejukan', 'ketenangan', 'batik', 'warisan', 'budaya', 'cirebon', 'jawa', 'barat']","['batik', 'megamendung', 'memiliki', 'motif', 'awan', 'bergradasi', 'warna', 'biru', 'putih', 'merah', 'melambangkan', 'kesejukan', 'ketenangan', 'batik', 'warisan', 'budaya', 'cirebon', 'jawa', 'barat']",batik megamendung memiliki motif awan bergradasi warna biru putih merah melambangkan kesejukan ketenangan batik warisan budaya cirebon jawa barat
Batik Parang,"Batik Parang memiliki motif garis melengkung menyerupai ombak yang tersusun diagonal. Melambangkan perjuangan tanpa henti dan kekuatan, batik ini berasal dari keraton Yogyakarta dan Surakarta.",batik-parang,batik-parang.jpg,"batik parang memiliki motif garis melengkung menyerupai ombak yang tersusun diagonal. melambangkan perjuangan tanpa henti dan kekuatan, batik ini berasal dari keraton yogyakarta dan surakarta.",batik parang memiliki motif garis melengkung menyerupai ombak yang tersusun diagonal melambangkan perjuangan tanpa henti dan kekuatan batik ini berasal dari keraton yogyakarta dan surakarta,"['batik', 'parang', 'memiliki', 'motif', 'garis', 'melengkung', 'menyerupai', 'ombak', 'yang', 'tersusun', 'diagonal', 'melambangkan', 'perjuangan', 'tanpa', 'henti', 'dan', 'kekuatan', 'batik', 'ini', 'berasal', 'dari', 'keraton', 'yogyakarta', 'dan', 'surakarta']","['batik', 'parang', 'memiliki', 'motif', 'garis', 'melengkung', 'menyerupai', 'ombak', 'tersusun', 'diagonal', 'melambangkan', 'perjuangan', 'henti', 'kekuatan', 'batik', 'berasal', 'keraton', 'yogyakarta', 'surakarta']","['batik', 'parang', 'memiliki', 'motif', 'gari', 'melengkung', 'menyerupai', 'ombak', 'tersusun', 'diagonal', 'melambangkan', 'perjuangan', 'henti', 'kekuatan', 'batik', 'berasal', 'keraton', 'yogyakarta', 'surakarta']",batik parang memiliki motif gari melengkung menyerupai ombak tersusun diagonal melambangkan perjuangan henti kekuatan batik berasal keraton yogyakarta surakarta
Batik Pekalongan,"Batik Pekalongan memiliki pola flora dan fauna dengan warna cerah dan detail halus. Melambangkan kreativitas dan keindahan alam, batik ini mencerminkan budaya pesisir Pekalongan, Jawa Tengah.",batik-pekalongan,batik-pekalongan.jpg,"batik pekalongan memiliki pola flora dan fauna dengan warna cerah dan detail halus. melambangkan kreativitas dan keindahan alam, batik ini mencerminkan budaya pesisir pekalongan, jawa tengah.",batik pekalongan memiliki pola flora dan fauna dengan warna cerah dan detail halus melambangkan kreativitas dan keindahan alam batik ini mencerminkan budaya pesisir pekalongan jawa tengah,"['batik', 'pekalongan', 'memiliki', 'pola', 'flora', 'dan', 'fauna', 'dengan', 'warna', 'cerah', 'dan', 'detail', 'halus', 'melambangkan', 'kreativitas', 'dan', 'keindahan', 'alam', 'batik', 'ini', 'mencerminkan', 'budaya', 'pesisir', 'pekalongan', 'jawa', 'tengah']","['batik', 'pekalongan', 'memiliki', 'pola', 'flora', 'fauna', 'warna', 'cerah', 'detail', 'halus', 'melambangkan', 'kreativitas', 'keindahan', 'alam', 'batik', 'mencerminkan', 'budaya', 'pesisir', 'pekalongan', 'jawa']","['batik', 'pekalongan', 'memiliki', 'pola', 'flora', 'fauna', 'warna', 'cerah', 'detail', 'halus', 'melambangkan', 'kreativitas', 'keindahan', 'alam', 'batik', 'mencerminkan', 'budaya', 'pesisir', 'pekalongan', 'jawa']",batik pekalongan memiliki pola flora fauna warna cerah detail halus melambangkan kreativitas keindahan alam batik mencerminkan budaya pesisir pekalongan jawa
Batik Priangan,"Batik Priangan memiliki pola bunga kecil dan dedaunan dengan warna pastel seperti hijau dan merah muda. Melambangkan kelembutan dan kesederhanaan, batik ini khas Tasikmalaya, Jawa Barat.",batik-priangan,batik-priangan.jpg,"batik priangan memiliki pola bunga kecil dan dedaunan dengan warna pastel seperti hijau dan merah muda. melambangkan kelembutan dan kesederhanaan, batik ini khas tasikmalaya, jawa barat.",batik priangan memiliki pola bunga kecil dan dedaunan dengan warna pastel seperti hijau dan merah muda melambangkan kelembutan dan kesederhanaan batik ini khas tasikmalaya jawa barat,"['batik', 'priangan', 'memiliki', 'pola', 'bunga', 'kecil', 'dan', 'dedaunan', 'dengan', 'warna', 'pastel', 'seperti', 'hijau', 'dan', 'merah', 'muda', 'melambangkan', 'kelembutan', 'dan', 'kesederhanaan', 'batik', 'ini', 'khas', 'tasikmalaya', 'jawa', 'barat']","['batik', 'priangan', 'memiliki', 'pola', 'bunga', 'dedaunan', 'warna', 'pastel', 'hijau', 'merah', 'muda', 'melambangkan', 'kelembutan', 'kesederhanaan', 'batik', 'khas', 'tasikmalaya', 'jawa', 'barat']","['batik', 'priangan', 'memiliki', 'pola', 'bunga', 'dedaunan', 'warna', 'pastel', 'hijau', 'merah', 'muda', 'melambangkan', 'kelembutan', 'kesederhanaan', 'batik', 'khas', 'tasikmalaya', 'jawa', 'barat']",batik priangan memiliki pola bunga dedaunan warna pastel hijau merah muda melambangkan kelembutan kesederhanaan batik khas tasikmalaya jawa barat
Batik Sekar,"Batik Sekar memiliki pola bunga yang indah dan elegan dengan warna cerah seperti merah dan kuning. Melambangkan kebahagiaan dan keharmonisan hidup, batik ini banyak ditemukan di Jawa.",batik-sekar,batik-sekar.jpg,"batik sekar memiliki pola bunga yang indah dan elegan dengan warna cerah seperti merah dan kuning. melambangkan kebahagiaan dan keharmonisan hidup, batik ini banyak ditemukan di jawa.",batik sekar memiliki pola bunga yang indah dan elegan dengan warna cerah seperti merah dan kuning melambangkan kebahagiaan dan keharmonisan hidup batik ini banyak ditemukan di jawa,"['batik', 'sekar', 'memiliki', 'pola', 'bunga', 'yang', 'indah', 'dan', 'elegan', 'dengan', 'warna', 'cerah', 'seperti', 'merah', 'dan', 'kuning', 'melambangkan', 'kebahagiaan', 'dan', 'keharmonisan', 'hidup', 'batik', 'ini', 'banyak', 'ditemukan', 'di', 'jawa']","['batik', 'sekar', 'memiliki', 'pola', 'bunga', 'indah', 'elegan', 'warna', 'cerah', 'merah', 'kuning', 'melambangkan', 'kebahagiaan', 'keharmonisan', 'hidup', 'batik', 'ditemukan', 'jawa']","['batik', 'sekar', 'memiliki', 'pola', 'bunga', 'indah', 'elegan', 'warna', 'cerah', 'merah', 'kuning', 'melambangkan', 'kebahagiaan', 'keharmonisan', 'hidup', 'batik', 'ditemukan', 'jawa']",batik sekar memiliki pola bunga indah elegan warna cerah merah kuning melambangkan kebahagiaan keharmonisan hidup batik ditemukan jawa
Batik Sidoluhur,"Batik Sidoluhur memiliki motif klasik dengan pola geometris yang anggun dan warna cokelat khas. Melambangkan harapan untuk kehidupan yang mulia, batik ini berasal dari Solo, Jawa Tengah.",batik-sidoluhur,batik-sidoluhur.jpg,"batik sidoluhur memiliki motif klasik dengan pola geometris yang anggun dan warna cokelat khas. melambangkan harapan untuk kehidupan yang mulia, batik ini berasal dari solo, jawa tengah.",batik sidoluhur memiliki motif klasik dengan pola geometris yang anggun dan warna cokelat khas melambangkan harapan untuk kehidupan yang mulia batik ini berasal dari solo jawa tengah,"['batik', 'sidoluhur', 'memiliki', 'motif', 'klasik', 'dengan', 'pola', 'geometris', 'yang', 'anggun', 'dan', 'warna', 'cokelat', 'khas', 'melambangkan', 'harapan', 'untuk', 'kehidupan', 'yang', 'mulia', 'batik', 'ini', 'berasal', 'dari', 'solo', 'jawa', 'tengah']","['batik', 'sidoluhur', 'memiliki', 'motif', 'klasik', 'pola', 'geometris', 'anggun', 'warna', 'cokelat', 'khas', 'melambangkan', 'harapan', 'kehidupan', 'mulia', 'batik', 'berasal', 'solo', 'jawa']","['batik', 'sidoluhur', 'memiliki', 'motif', 'klasik', 'pola', 'geometris', 'anggun', 'warna', 'cokelat', 'khas', 'melambangkan', 'harapan', 'kehidupan', 'mulia', 'batik', 'berasal', 'solo', 'jawa']",batik sidoluhur memiliki motif klasik pola geometris anggun warna cokelat khas melambangkan harapan kehidupan mulia batik berasal solo jawa
Batik Sidomukti,"Batik Sidomukti memiliki pola bunga dan geometris dengan warna dasar cokelat muda. Melambangkan kemakmuran dan kebahagiaan, batik ini berasal dari Yogyakarta dan Surakarta.",batik-sidomukti,batik-sidomukti.jpg,"batik sidomukti memiliki pola bunga dan geometris dengan warna dasar cokelat muda. melambangkan kemakmuran dan kebahagiaan, batik ini berasal dari yogyakarta dan surakarta.",batik sidomukti memiliki pola bunga dan geometris dengan warna dasar cokelat muda melambangkan kemakmuran dan kebahagiaan batik ini berasal dari yogyakarta dan surakarta,"['batik', 'sidomukti', 'memiliki', 'pola', 'bunga', 'dan', 'geometris', 'dengan', 'warna', 'dasar', 'cokelat', 'muda', 'melambangkan', 'kemakmuran', 'dan', 'kebahagiaan', 'batik', 'ini', 'berasal', 'dari', 'yogyakarta', 'dan', 'surakarta']","['batik', 'sidomukti', 'memiliki', 'pola', 'bunga', 'geometris', 'warna', 'dasar', 'cokelat', 'muda', 'melambangkan', 'kemakmuran', 'kebahagiaan', 'batik', 'berasal', 'yogyakarta', 'surakarta']","['batik', 'sidomukti', 'memiliki', 'pola', 'bunga', 'geometris', 'warna', 'dasar', 'cokelat', 'muda', 'melambangkan', 'kemakmuran', 'kebahagiaan', 'batik', 'berasal', 'yogyakarta', 'surakarta']",batik sidomukti memiliki pola bunga geometris warna dasar cokelat muda melambangkan kemakmuran kebahagiaan batik berasal yogyakarta surakarta
Batik Sogan,"Batik Sogan memiliki pola klasik dengan warna cokelat sogan khas dan motif flora. Melambangkan kebijaksanaan dan keluhuran, batik ini merupakan warisan budaya dari Solo, Jawa Tengah.",batik-sogan,batik-sogan.jpg,"batik sogan memiliki pola klasik dengan warna cokelat sogan khas dan motif flora. melambangkan kebijaksanaan dan keluhuran, batik ini merupakan warisan budaya dari solo, jawa tengah.",batik sogan memiliki pola klasik dengan warna cokelat sogan khas dan motif flora melambangkan kebijaksanaan dan keluhuran batik ini merupakan warisan budaya dari solo jawa tengah,"['batik', 'sogan', 'memiliki', 'pola', 'klasik', 'dengan', 'warna', 'cokelat', 'sogan', 'khas', 'dan', 'motif', 'flora', 'melambangkan', 'kebijaksanaan', 'dan', 'keluhuran', 'batik', 'ini', 'merupakan', 'warisan', 'budaya', 'dari', 'solo', 'jawa', 'tengah']","['batik', 'sogan', 'memiliki', 'pola', 'klasik', 'warna', 'cokelat', 'sogan', 'khas', 'motif', 'flora', 'melambangkan', 'kebijaksanaan', 'keluhuran', 'batik', 'warisan', 'budaya', 'solo', 'jawa']","['batik', 'sogan', 'memiliki', 'pola', 'klasik', 'warna', 'cokelat', 'sogan', 'khas', 'motif', 'flora', 'melambangkan', 'kebijaksanaan', 'keluhuran', 'batik', 'warisan', 'budaya', 'solo', 'jawa']",batik sogan memiliki pola klasik warna cokelat sogan khas motif flora melambangkan kebijaksanaan keluhuran batik warisan budaya solo jawa
Batik Tambal,"Batik Tambal memiliki pola tambalan kecil-kecil dengan motif beragam dan warna cerah. Melambangkan perbaikan dan harapan, batik ini berasal dari Jawa Tengah dan Yogyakarta.",batik-tambal,batik-tambal.jpg,"batik tambal memiliki pola tambalan kecil-kecil dengan motif beragam dan warna cerah. melambangkan perbaikan dan harapan, batik ini berasal dari jawa tengah dan yogyakarta.",batik tambal memiliki pola tambalan kecilkecil dengan motif beragam dan warna cerah melambangkan perbaikan dan harapan batik ini berasal dari jawa tengah dan yogyakarta,"['batik', 'tambal', 'memiliki', 'pola', 'tambalan', 'kecilkecil', 'dengan', 'motif', 'beragam', 'dan', 'warna', 'cerah', 'melambangkan', 'perbaikan', 'dan', 'harapan', 'batik', 'ini', 'berasal', 'dari', 'jawa', 'tengah', 'dan', 'yogyakarta']","['batik', 'tambal', 'memiliki', 'pola', 'tambalan', 'kecilkecil', 'motif', 'beragam', 'warna', 'cerah', 'melambangkan', 'perbaikan', 'harapan', 'batik', 'berasal', 'jawa', 'yogyakarta']","['batik', 'tambal', 'memiliki', 'pola', 'tambalan', 'kecilkecil', 'motif', 'beragam', 'warna', 'cerah', 'melambangkan', 'perbaikan', 'harapan', 'batik', 'berasal', 'jawa', 'yogyakarta']",batik tambal memiliki pola tambalan kecilkecil motif beragam warna cerah melambangkan perbaikan harapan batik berasal jawa yogyakarta
